????-????-???? | 2A6FY-BR577-H0DD3-RIK2Z
????-####-%%%% | MG2QL-5UQ0P-4LAVS-JU81W
####-####-#### | NUVVX-CUNR6-N7JKQ-7XF0K
????-####-%%%% | HZBKL-F1TIZ-6S743-BENCB
????-????-???? | IL2ZR-0475L-VG1PJ-LKPFR
????-####-%%%% | 89LQS-AGR49-YC4X6-BVMXQ
????-????-???? | XRFB8-DXM7Z-BLRDX-DMU9T
????-????-???? | WJZA2-K16XJ-4MSAY-PKIZH
####-####-#### | 4C3FR-BZU45-GRVLO-4IGHM
****-****-**** | BWM2R-6D2NB-5V0JQ-G3K1P
####-####-#### | SPH04-T36E2-AUYIG-P88JU
????-####-%%%% | 6PVTT-OO12K-RNZ0V-EJNLD
????-####-%%%% | UERCW-T8PZ5-NUSKL-JERGC
####-####-#### | H5QJQ-46IE7-LF9NH-S3GRH
####-####-#### | TFGHG-DF3IF-0NPGP-FP29L
????-####-%%%% | XI1CW-A22Y5-FSYO8-2U7LB
????-####-%%%% | EPN08-84A91-B93CM-WXQ9S
????-????-???? | 5U948-BE75E-VDI3K-M8AGG
####-####-#### | KFBAY-N1C5L-5DGFD-C1DIO
????-####-%%%% | C44OW-1XP21-41NR2-TFNKH
****-****-**** | V0I13-MP71T-79VQK-CQPUM
####-####-#### | TKU1J-K9RV1-BVG6J-8NADH
????-????-???? | V2MVX-KUZ1U-DWVJD-M8732
####-####-#### | B4VB0-OHQ36-BPFAM-1KBFF
####-####-#### | QQ9V7-XZL9B-45K5L-IZPDQ
%%%%-%%%%-%%%% | G5WN3-6QYSX-80TNF-VFI68
****-****-**** | DNZDM-FA06X-O821O-3LV36
****-****-**** | FVS5X-0U8PP-EI7MO-DI401
%%%%-%%%%-%%%% | WG2V0-AUCP1-3FMTW-RYXAI
????-????-???? | PUQ65-Z3QAI-1QQ12-EZKKY
####-####-#### | IHH03-QAW8H-UNBX6-OTDT4
????-####-%%%% | HQNEP-Z9KXF-IDFTD-YZA03
????-####-%%%% | MFKL2-AN6ID-C49ED-NM1DT
????-????-???? | S7UHT-70GJL-80VRD-DYKIS
????-????-???? | 7G47V-CLH9E-T2Z18-CI0KS
????-????-???? | ZIWSV-LPM1E-U4LML-SNKT9
####-####-#### | Y3WOB-WSPUL-5MY8W-NWZ36
????-####-%%%% | W82VK-QBKZM-JYVTN-AMEXW
????-????-???? | 0EDYD-SK4ZE-1PA6S-KH0HC
####-####-#### | YLMCV-WHCV7-X8DEO-FIKU2
****-****-**** | WGB6E-Z44F6-BAFGE-O4GWH
####-####-#### | H37LG-H3SNR-513YQ-V982H
????-####-%%%% | YN7R5-322T6-VE374-TDU6N
????-????-???? | TTQT0-PST34-1EBMI-QLK54
####-####-#### | SRZNM-175M5-VHGHH-KV7ZY
????-####-%%%% | 0U7L4-AGTSA-N3Q8R-R5M47
####-####-#### | UP9HF-VZMTL-WTUZ4-REMLK
####-####-#### | 6TDHT-A4KO5-T8QE7-JFA7Z
####-####-#### | 6LUHH-XWKSL-NWP4C-OC9FM
????-????-???? | HPRT0-W5PLA-QNFAD-U8W1P
????-????-???? | KXQMP-8YF2G-H3GBX-5X5G0
????-####-%%%% | UDIJ3-VF5YX-5OZU3-3TMLY
????-????-???? | SNUR4-PZZHS-IMT39-ZPY7L
%%%%-%%%%-%%%% | Q1BV9-CPZ0F-3M99V-NVWJB
????-????-???? | QBNHX-G5G2S-MIPH7-D2W74
####-####-#### | XMQ0T-75I5T-2NM2W-LW6KH
%%%%-%%%%-%%%% | B5AXD-7U5U6-F6N6K-PK6D0
####-####-#### | LCLSH-6W9YB-FRXX5-XD46J
####-####-#### | VW3OM-KNQ2J-ZCOZ5-QUX0K
****-****-**** | 2F4TX-22W7J-L7DIG-9KUDR
????-####-%%%% | B4F71-2W7OX-O10AR-YA5R1
????-####-%%%% | O4SRU-0ZG8L-C38H5-JRVBW
????-????-???? | 9JVGV-NQQ30-96P5T-OHIYS
????-????-???? | TNHJV-11HFR-9QA8G-J96KI
????-####-%%%% | 0YX9V-DTJ2C-VEK8E-2ADO1
####-####-#### | 1ACQB-M0J9U-T1QJ3-HJAZI
????-????-???? | W1R9X-ZSJX1-RXS6H-CFQ3M
****-****-**** | RJPHL-LGUFV-YF6BS-R1PPH
****-****-**** | C5OCV-IWXHW-6EN8C-WRHUT
####-####-#### | UQQA9-L71TN-7FAQC-RE1U0
####-####-#### | TZH17-P7XK1-T737Q-FU3O6
****-****-**** | S67QN-YOUA7-0X6W8-G37A2
????-####-%%%% | E5RL4-UD5ZH-LQ824-7Y0SU
????-????-???? | M4DSV-19E30-068CY-4QUM8
????-####-%%%% | LS7JI-LB51P-CYTGE-5Z296
****-****-**** | E4MHX-PS9CI-V3D5N-F2DC0
????-####-%%%% | EJ25G-FBLID-Q4KCV-G6XK7
????-####-%%%% | GOD6M-2V9B2-QB8KL-B5OR8
****-****-**** | NG7AQ-JJ5UW-3RNDX-E6H07
####-####-#### | LEKWM-S6PBA-DXI22-8FF2D
####-####-#### | 66PUM-388O3-2OS2P-4L1BY
####-####-#### | J9DBJ-QDIDM-5VGXR-T7PAR
####-####-#### | IL0I1-3HRTM-4DH5X-XLOZR
????-????-???? | DQ1WF-45QKZ-52K7D-N4KK3
????-????-???? | K2C91-08UOM-D6MKC-9UE1Z
####-####-#### | MVC66-26WP7-XA9F5-5AFQU
????-????-???? | TYMZ9-ZGZ22-N8CU0-J973L
????-????-???? | 0SEJM-YGY32-OWV0I-R864W
####-####-#### | KJQYI-URCTD-XHWOM-WVUR4
####-####-#### | 4XFSK-ZGR29-6JVDC-EI746
????-####-%%%% | MQTQM-8WYX5-Q34RQ-J6AE6
????-####-%%%% | V45IQ-HO08G-5J06Q-GFPUX
????-####-%%%% | BJZHE-6DER0-JFKCL-1XSTN
####-####-#### | 7WV1L-HJD15-EX8NY-7SAGW
????-????-???? | QTR12-KADA7-P0VIV-CEOYJ
%%%%-%%%%-%%%% | I0UIO-L3DBY-LZKSA-M35TU
%%%%-%%%%-%%%% | 0RPPW-4TSFT-4ZC9A-SB8YD
****-****-**** | EOHP1-TKC74-FLJUF-E5X0U
????-????-???? | A6S0K-R0FD2-QQPPT-RI1XK
????-####-%%%% | CA11N-YGK3Z-15YR6-K65VW
????-####-%%%% | 3LB1E-IXEBL-8MD07-PFJQI
####-####-#### | Y9QWF-TVH96-HDYC6-XPY27
????-####-%%%% | MPBN8-X9ZQO-3DK0E-ZU0EJ
####-####-#### | AFLB9-0ZO17-NWHWE-6FFE7
####-####-#### | RGMRW-HC0BR-BJHUS-JU2AG
####-####-#### | YXAJG-AMBY2-6697T-F9OIG
????-####-%%%% | EENW0-BRPUE-TO03H-1T132
????-####-%%%% | F0C6F-FMZGB-YAQXV-TIL9O
????-????-???? | RE0O5-7NMTA-1TQ4J-O4BGL
????-????-???? | P6JKY-SFVUO-BITW8-5UXN1
%%%%-%%%%-%%%% | GM6A9-TPQGO-GD7MV-LJYHD
####-####-#### | 8M0E6-RNSWH-XDUQH-DEQVU
????-????-???? | VLOZH-ZO6AP-YJL1K-ZTVL5
####-####-#### | ORUKV-D0XK4-18S2F-4W7DB
****-****-**** | L0CTQ-RAJ8H-UT2P4-J4B7N
%%%%-%%%%-%%%% | EAP8T-J3VL4-8VJJQ-8YFB1
????-####-%%%% | 33NA4-6YY6J-0F5EQ-945WP
????-????-???? | PUBDE-DFQ7S-XN7WW-DO130
????-####-%%%% | XI0EZ-8WEJR-JNC61-I7TZ8
????-????-???? | L91LY-SN9OC-QLU6P-SAVUL
????-????-???? | 6ZBCJ-LZCMM-6ECXI-W6O6D
%%%%-%%%%-%%%% | A7SG5-PPY1X-IAXXK-CFOR0
####-####-#### | 9L19Y-F57UI-EE4VZ-GP9I8
####-####-#### | 8GPNK-73JBH-LD4D1-6Y6SM
????-????-???? | ZNQ1L-PHV1N-JZMBM-EY9D4
####-####-#### | AH9HH-W1VFJ-Z7YSI-66DHL
????-????-???? | LKXZX-FNPMG-BZZBD-LXOXY
????-????-???? | P8GWZ-6GB1E-S2WCL-ADN2H
####-####-#### | OAZRH-E1QVC-U6PBY-KMT60
????-####-%%%% | CBLEV-0KGYA-LJ9CH-N3HBN
????-????-???? | ROXU6-2WNJG-KL3MM-9FJWW
****-****-**** | RI3PU-JFGF4-GSH1E-2PK3D
****-****-**** | 1SMDQ-2F285-HP8B2-7A5V2
????-####-%%%% | NIX1M-TET2A-ZWNON-68R2T
????-????-???? | K82AD-EV184-CXWFS-0DA05
????-????-???? | YHSPA-0FUP9-MMEFX-H0O4J
????-####-%%%% | RF6HW-NF3Z7-7R2ZD-O19WC
####-####-#### | VKDE1-986UU-FA5RA-02UXB
????-????-???? | PSIJQ-3RQ4V-FVIEP-P966H
????-####-%%%% | I4C2X-ATRRG-XWTM5-G0WYN
####-####-#### | F6B81-9DM7G-0EOLV-KMX3D
????-####-%%%% | C29DV-OL02T-3LE6K-ZH8QX
%%%%-%%%%-%%%% | PBCBF-86I0E-V4I7T-TTXRA
????-####-%%%% | 473GH-P4R56-067XM-E9VFJ
****-****-**** | S7MKU-Z3MH0-5W1C0-FTFRT
????-####-%%%% | FXB6F-EFK0K-7IDJP-ZLCB8
????-####-%%%% | DONV9-B3LH1-SDP1V-G6UBJ
%%%%-%%%%-%%%% | 0Z2LM-BACX6-N2MUV-4XUTA
%%%%-%%%%-%%%% | W3J9G-ITIE1-JLY2M-KLFY6
####-####-#### | KSF9H-9YBHC-RR47T-YP7WU
????-????-???? | QLCQS-BT0BV-TBNY1-MR71D
####-####-#### | J9L23-F6SP6-5XTYO-V68WN
????-####-%%%% | G4ZBR-6M6ZS-WLKMO-DHP8F
####-####-#### | CNHH8-IWY7X-JNHP5-RYL82
####-####-#### | 4CII1-TP59F-K8NH5-5OXOG
????-####-%%%% | N0UN5-YY0FA-BOGE7-55B7D
????-####-%%%% | V8C0V-J269B-OZ8D9-S5UUW
????-????-???? | 24PNW-28G5P-EHZ1Q-PIHEQ
****-****-**** | PM7LJ-SVFI5-6AFLO-SOLG4
????-####-%%%% | OTP7B-DHK2T-4U797-5PHDP
****-****-**** | OMEN7-4K2O9-WTNMJ-PNTPI
????-????-???? | Y4MXX-RZXAA-KBLIH-064HZ
####-####-#### | UJ7FG-RZ624-868SO-I8TQY
####-####-#### | 6W98U-ZQWEU-7GYP0-MTH5I
%%%%-%%%%-%%%% | 8CEMR-TPFWE-PH5T5-IUQOY
????-????-???? | 9LBVJ-KX5HI-5LIOX-NMJZ5
****-****-**** | E6WCM-IIDIH-FKIS7-966DC
????-####-%%%% | HP5MH-IFJL8-XYWRY-C15RQ
%%%%-%%%%-%%%% | I5FC2-MT35O-8CNFE-GSF1Y
????-####-%%%% | 9RVCY-YAJ1O-C0D5O-JL7NC
????-????-???? | 2AMZ8-Z8UV4-FNQY9-1I1AP
####-####-#### | B7NQ1-AGUUY-LD0RS-5HUBR
????-????-???? | OONF0-TR3Z7-N8X7O-4Y3HN
????-####-%%%% | KR4WK-IR1WT-59O3Y-M9ZUN
????-????-???? | 8FIAG-MF0KE-R07BK-720IV
%%%%-%%%%-%%%% | 00I4P-CHVOZ-HSF43-OQCNN
????-####-%%%% | PURDJ-IEKVB-I32ME-CLR65
%%%%-%%%%-%%%% | F3HRD-QZ2QL-Z0FW5-BIJAJ
????-????-???? | RO1W0-GQWJ8-DXMAM-FBSXC
####-####-#### | TPQS3-H77XQ-TMD6Z-HMQ1A
####-####-#### | 3OD9Y-41V3Q-1ZL1B-K5LO5
????-????-???? | TQNNG-XEUJ8-LGQX5-SRP6M
????-????-???? | QEIA4-7NL29-XIP29-32M0V
****-****-**** | 8BHR5-9HKGA-0VHSK-CD61B
####-####-#### | LSZC4-REQ6D-56C5B-24R4G
????-####-%%%% | WGXYX-A4FE2-P8AVD-YGWPD
****-****-**** | MCOVV-GO4JC-2ZG2U-U0Y1L
####-####-#### | 0OJOG-XMVNH-Z5WV6-NV55R
####-####-#### | D0Q5P-WZA7D-V381H-V2EIO
####-####-#### | 1W2JT-3TBBQ-ZANF3-0EH33
????-????-???? | 4TDR6-EKSXE-SD7G3-KIO7C
%%%%-%%%%-%%%% | 12GF2-H2KPA-83Y1K-M5ZRJ
%%%%-%%%%-%%%% | IIO3D-QPITT-TPFTH-UCMBQ
????-####-%%%% | 32QPT-W1H2D-75K8S-FVQOA
%%%%-%%%%-%%%% | JUCO1-4F0IW-8XO3B-6JZ7W
????-####-%%%% | UKI71-6BECD-HG42Q-DHNH6
****-****-**** | OR9P0-T28CW-8QA4G-P02UA
????-????-???? | RHI7V-1F2G8-NURJB-JO0LF
%%%%-%%%%-%%%% | FAGVQ-EAKEW-0PIBV-95NSP
####-####-#### | 9MXZN-WSJWR-0WDRB-KMI1T
%%%%-%%%%-%%%% | YPBZJ-93CMQ-NWA0T-1SHGG
????-????-???? | G1OYM-G1A44-IDIY6-F0WM5
%%%%-%%%%-%%%% | WLAQE-3VVMV-LKUK3-VUB6A
####-####-#### | 5NVJ6-AT2ZI-DOHWA-AOW0S
####-####-#### | GOFBH-A9Y84-QH6WD-96VL6
????-????-???? | L8EES-ANQ9W-8N73U-25VOI
####-####-#### | XDIIM-AUFKN-N70W0-90810
????-????-???? | LBRIJ-CZU5V-8HESO-66LMD
****-****-**** | 145R5-ZKNCR-DGBJY-63SCI
****-****-**** | UWG0X-Q5CB6-RMKIA-OQ0WF
%%%%-%%%%-%%%% | Y92HX-JPUSH-O4BRB-MPD72
????-####-%%%% | RABSX-SX0LG-KPJ9H-QBIQH
????-####-%%%% | V8G28-T97ME-SS7LR-2RRO6
%%%%-%%%%-%%%% | 94A16-GIZKB-H9OCN-A2G4F
####-####-#### | 496L1-IY9QZ-Z5OUQ-SVQZV
%%%%-%%%%-%%%% | 40ZUA-VG3R2-EDA5H-Z2AV5
%%%%-%%%%-%%%% | VWUKM-SE5N8-EWQ2L-JH2UZ
????-####-%%%% | 2S2A0-46RCD-T35HG-UH92U
****-****-**** | 2WBFP-FO6OL-V2YIM-H3A2Z
####-####-#### | YM9J9-AK4X2-W1RZA-84UBB
????-####-%%%% | MNALK-LPK4D-TBVIK-1SC9J
%%%%-%%%%-%%%% | MM77A-KGXQ8-VGCCV-8S53D
####-####-#### | EUVJK-TP5QH-WWS8G-GG50O
????-####-%%%% | R2ZEA-OZ493-7CG3P-4T55Y
????-####-%%%% | U5URD-9O3UD-1WCSU-MIMNI
%%%%-%%%%-%%%% | QTG16-GF6MH-HQM76-X0AMG
####-####-#### | 3C2GQ-T99T0-A8DIW-E131V
????-####-%%%% | W47BE-N2EQ1-LSI6Z-84VZO
????-####-%%%% | E2Y6O-GS9VT-SHVKS-9GUDV
????-####-%%%% | CLWPD-FSHRP-SPYLW-KT9DQ
%%%%-%%%%-%%%% | TW4RU-O5UXH-VG5OV-YQ1GF
####-####-#### | 9T871-EQ6R2-WEVJJ-N7LR8
????-####-%%%% | WS8FF-JNJ7Y-T4JIB-8LYP8
%%%%-%%%%-%%%% | NS3ZX-VKFYF-R6T5S-PJZZE
####-####-#### | THFN9-OMW8B-V5CL7-LINDI
????-????-???? | 3RR0Q-S7VX3-AO6ZB-163Z3
%%%%-%%%%-%%%% | EXAGR-85M9C-8KWLX-NO6NE
****-****-**** | GYC5U-OT7L1-9FWXS-Z4KQN
****-****-**** | ZCI81-NWID4-7KP75-MFCVX
????-####-%%%% | AWFWT-N2E4A-QRZD3-RZCDU
%%%%-%%%%-%%%% | WBIRC-FR5SP-5JM75-2FJAY
%%%%-%%%%-%%%% | 096KY-OAWT2-N6EGG-9M8EN
####-####-#### | U686E-ZBECD-Q50BL-G9HR2
%%%%-%%%%-%%%% | 5ECQZ-EANF2-YMX9J-BC8O0
????-####-%%%% | PQ8Q2-IFZQN-99CNE-82L04
????-????-???? | 8OURA-HGGIG-JZ3DF-Z9D3C
????-????-???? | EN3U3-A2SBL-BQ4VI-BUJHV
????-####-%%%% | TFO2S-90I8Y-QMBJW-2MGM2
????-####-%%%% | T8OK5-5F7GL-LQBNI-LZVOY
####-####-#### | ZUZXD-Z1SF1-LMEI4-46U0L
????-####-%%%% | BBSET-MW6JW-HLQAC-MPW36
????-????-???? | JHI14-72UNR-46YTD-BH427
????-####-%%%% | BASHW-OBTZ8-FGB5E-RT7X5
%%%%-%%%%-%%%% | I8RO8-XUQZP-B7SNQ-1MHUN
????-####-%%%% | 3BD78-HZMPU-YCG0O-U6OGG
****-****-**** | 8RIGQ-4HR0M-N71CS-Z6NE8
%%%%-%%%%-%%%% | G7CYV-ZX8D9-O4Y4M-YZM86
####-####-#### | FQ255-D7R0V-D7MNC-SP5U6
####-####-#### | 63VP9-KYMBK-KJPHT-D3IHP
????-????-???? | KH2KZ-1UPBW-HWNKV-IGQ1H
****-****-**** | Z1H3C-76US7-PFWOW-OPBVX
####-####-#### | 07QNA-T66KC-3QKQE-5SOZA
****-****-**** | LLE1P-VGJVL-H6C2Y-WMFFB
????-####-%%%% | GM909-B1OS6-7PRTI-G75IR
????-????-???? | Z9EPJ-W526P-ZBPGG-K0YKF
????-????-???? | 5GNA6-T5K7N-799CT-5L9VF
****-****-**** | KDVAK-DEI9A-RN3BD-QUGG2
????-????-???? | USJW6-0MJH7-KO0KW-MM31V
????-????-???? | KHZLM-K6A9W-8SULY-QB8KR
####-####-#### | 5Q7GN-ULU4D-9P9HB-R2M54
????-????-???? | QBQNT-4J9VE-UQ5QK-UBPUM
####-####-#### | T1UDQ-XMTG9-ANOJO-DI9RB
####-####-#### | 1MP0O-T9F51-F85X4-DF141
????-????-???? | H8D5C-IY44Y-Z3GMK-PWZKM
####-####-#### | R5C04-1VHPO-GC42Z-VNHNK
####-####-#### | OO873-NXMHE-IN9ZT-SL90M
????-????-???? | LE67V-Y86JT-ZK8CW-FVECX
####-####-#### | 1NEYG-5H73Q-7408N-BACLC
%%%%-%%%%-%%%% | DX101-QE0LB-BW94Z-83YNA
%%%%-%%%%-%%%% | KNZUU-J6C08-I9H10-FZ4W6
####-####-#### | 3KYZK-5MGNQ-EXJP8-SWVKG
????-????-???? | 3J97E-IWMAU-C2M4Q-V3GSW
????-####-%%%% | FIDPQ-65P0S-9XBJU-KTZ9L
****-****-**** | EJR41-GHWEY-BVSBN-5V6CA
####-####-#### | B2GRM-IZ0DC-NUOR8-Z8H4J
####-####-#### | 6H938-NOWYU-S4CO4-9Q6VP
%%%%-%%%%-%%%% | OQ2OX-UTWL5-DVIL5-UJOY9
????-####-%%%% | EYJIG-A6UAW-841GO-BSF8D
????-####-%%%% | C7GXR-IS3EC-F1TXO-RUK9S
????-????-???? | TQXQS-X16AO-E6HC7-FXZKM
????-####-%%%% | W2EGF-W33EO-ZM9XT-IIKWD
%%%%-%%%%-%%%% | DHGHA-8R4GO-881RI-2FAEM
%%%%-%%%%-%%%% | F667X-X8IOM-L0T45-O9EYE
%%%%-%%%%-%%%% | KKBQQ-LV1IV-OL9QD-VPN6A
????-####-%%%% | ERSYX-84478-62F66-HOQFW
****-****-**** | Z27MK-GV9RF-ILYC5-IOSF7
%%%%-%%%%-%%%% | BU93B-KGE7Q-W4PN6-N05WA
????-####-%%%% | 0UAMB-OTLO8-H02I6-NWQ87
%%%%-%%%%-%%%% | VF0L8-KC1TH-U9QX9-J5QI8
????-????-???? | D1M2C-QPKKG-T8KQX-JAO3L
####-####-#### | RCDI0-MG631-L13AV-WO8QX
####-####-#### | PJE4X-UEWZ3-ORUVO-SDZ26
####-####-#### | 3JCS2-AGZEX-7H4N4-KWC58
####-####-#### | KT05F-6F835-VNRKS-HMPHD
%%%%-%%%%-%%%% | N0KMX-48ZDW-PB1G9-8RD97
????-####-%%%% | VOD0R-V5X0J-91Z55-IA58X
????-????-???? | N11Q7-JPTHW-UPJEV-9E2RK
????-????-???? | WRUL6-9XJ1E-0HI75-1DPES
????-####-%%%% | 9W8YF-SX0HQ-O2CDC-PD4RN
????-????-???? | SRFJF-88I03-Y6YMI-QQI4G
????-????-???? | VXMA5-H5VQY-SLXV1-5M9NG
????-????-???? | 25ZVK-4055B-BXZWD-LHSAP
????-????-???? | 3CQ0V-L93O1-MAYJA-1W10X
????-####-%%%% | 7L26Z-XSYFF-J7JBF-LPF3T
****-****-**** | 8GTA6-4ALS4-GMN48-RVHIO
????-????-???? | 8G7H6-ZKR0A-PIVY6-3NKZK
####-####-#### | 2QZER-TYHKO-93N8I-R98QJ
####-####-#### | O6GSH-GYCU8-80QEX-QB70Y
####-####-#### | 3RK96-RU3FR-LV6NH-OZPVX
????-????-???? | 8H5VX-1Z9T0-LZROG-Q7NAB
%%%%-%%%%-%%%% | 4M6JF-5YA0J-Q9AIX-ZHRVN
####-####-#### | UN07P-HA9H5-YPNYL-TIHYE
****-****-**** | I9C80-PGW64-DO158-0O3FW
****-****-**** | JEVK9-CIKUW-F3T6X-W5CSK
%%%%-%%%%-%%%% | EDSXY-Y8TJG-ESAHY-7XXHT
????-????-???? | 9BEGE-K01LU-L7G3W-HHOYJ
????-????-???? | E66R6-YYZ90-V5VO4-TO9GV
####-####-#### | AGDUS-XGN0N-CDTIB-TCZ53
????-????-???? | 8NJOR-50MD1-0EO3V-LBWT4
????-####-%%%% | CMLVM-XHQR8-YH5EM-9RUBY
????-????-???? | GJUQY-7EYEE-FNOCY-BM6EM
????-####-%%%% | NBOB2-94K2H-A97V4-0P74B
????-????-???? | TI9D0-VMIZ8-VRHFW-K4P9E
%%%%-%%%%-%%%% | Q9B8K-NORZ4-BQ5HJ-MCEP9
????-????-???? | JO9TF-WS6KD-T7SAL-DG0QB
????-####-%%%% | FFMJ3-OMUZ1-BW92F-8N93E
????-####-%%%% | F2YXE-DPX3T-H6L66-QQAHN
????-????-???? | LCB9X-K3FYM-HCRRV-6GYZY
####-####-#### | IANCM-DNKQE-JDEDO-H90W9
####-####-#### | SIIJ0-8U06R-C4YUN-4XXF8
????-????-???? | CFH7G-7L3NM-YOC8M-AAB5N
####-####-#### | 9G36N-5ARYS-JY2UK-7VSX0
????-????-???? | 7SMRV-3EXIA-AQC68-BEP63
****-****-**** | PUXYX-1UBRW-EB4ZS-5IZPO
????-####-%%%% | UZEW2-81YN3-XJHLJ-WNP0B
????-????-???? | 13JP1-5U7K8-OIZLY-AF4ED
????-????-???? | 6WHC1-KA0O5-QOMQX-I4YCB
****-****-**** | 8CERP-855X1-KKTEG-DZVE9
????-####-%%%% | GI6XP-FZI1O-PJZXB-ZK1DU
****-****-**** | CUVJO-H6LA7-S782K-43GZI
????-####-%%%% | YNKC2-22ZQX-PR8Q1-Y52XR
####-####-#### | XWUMV-DAPYC-4L6Q6-KVDAT
????-####-%%%% | 54TRF-QMMIG-X9DM4-6PES8
????-####-%%%% | Z30P6-S8JRW-IVUFR-LBWN5
????-????-???? | NVU16-Z1FPH-MBCWV-Q2E4E
%%%%-%%%%-%%%% | D5SOS-PVE6F-RRKIF-XRCIB
####-####-#### | 6D5MO-N79FR-E5S4L-J7P1S
????-????-???? | W34YY-R4CZ1-4JAYG-N3TAM
####-####-#### | 8YY4D-G960P-LTTON-VYGJG
****-****-**** | 4EIXD-HAO0M-M7WX7-C69IS
????-????-???? | WUNDN-RDUCS-8L15U-KDG71
????-####-%%%% | KEG3S-P70TD-3P88G-T839T
****-****-**** | 3FU42-SBFN9-VFWDK-08JM4
####-####-#### | 95E0K-V8DZ5-EA3YD-UIIFU
****-****-**** | 5POB9-F2FGH-M5WE5-2E246
????-####-%%%% | F3T2N-X5OE8-7NL85-DYMS7
%%%%-%%%%-%%%% | CB6X8-P2XL5-3MI74-JI95I
####-####-#### | 0FLTU-2QKWO-MJW7J-IJV85
????-????-???? | 1U40Z-IO1HF-DHF1F-L6XBD
????-####-%%%% | 6TOCP-2EW8Z-YSUBE-VYAHS
****-****-**** | KP2FW-T2N5E-56KOH-OT59Y
????-????-???? | MG7MX-3CWTU-M5926-LZ4XL
%%%%-%%%%-%%%% | KMVO5-KXRY2-34TUB-LIAGR
????-????-???? | O09VD-8JBEO-Y5EH0-TTNH4
????-####-%%%% | NUV3G-0VSQE-2SIIP-QMDBU
????-????-???? | 5QZSM-YW775-X4CHO-TMN57
####-####-#### | N10L8-5WSZ3-T9RAD-3WA7K
%%%%-%%%%-%%%% | 98B5I-AGFF4-YOZR8-XCHR5
????-????-???? | DWG0Y-9PH75-I458Y-QUIFG
????-####-%%%% | 6UB8G-88ZLT-UBKZT-VB2AG
????-####-%%%% | BT7FH-1Q0YY-T18GK-YOSIF
%%%%-%%%%-%%%% | UVDV6-V59NL-WN1TX-0NJ9B
????-????-???? | ABAC7-DY1QI-IEGFA-A3KLU
####-####-#### | 9K5Q3-4F2NT-DNBGH-Y0MCI
????-####-%%%% | VEF15-NFPH2-3KF6Z-UA6FY
%%%%-%%%%-%%%% | IVCXN-J1WDE-ZRZOA-49XZ1
????-????-???? | DLBAF-HQ43J-7NC8V-URTS4
****-****-**** | UJM7F-WUS01-GYPO5-7Y9UJ
****-****-**** | 9BI0B-W3NNG-O4A2A-V5V3I
????-????-???? | VX358-1OC15-KKOEB-W0AW3
%%%%-%%%%-%%%% | HYKXP-71CW4-RPX03-PYRLN
????-????-???? | XHANS-AD70A-XBQOW-I8LZO
????-####-%%%% | 82VQH-0W1T3-2IU3U-V5KKO
????-####-%%%% | LIETY-CTSYR-5M0KF-AU7H7
????-????-???? | QQUP7-QFKF1-KZGTB-TQ7K6
####-####-#### | C4VLP-AUC6Z-EIJMM-999PB
####-####-#### | S85KT-84KBU-PYFUA-S608S
%%%%-%%%%-%%%% | W4TMO-TY7U1-WEQ4O-3B351
????-####-%%%% | KMVB7-936VP-MYQX4-I6B1W
????-????-???? | 3XBG9-11KKE-ZWEWS-3I514
????-####-%%%% | 3LMCS-AU8RJ-8F2VY-NYNYS
%%%%-%%%%-%%%% | YNBM2-KB5VR-UVFMP-7BTYL
????-####-%%%% | LLL2A-99523-R4IAK-THXQ5
%%%%-%%%%-%%%% | BUGH1-HDQZG-ZXQBW-X8T99
####-####-#### | YTLNO-KB63P-3KOFR-4Q0V4
????-####-%%%% | GUEML-AVGI7-N257L-R54RZ
????-????-???? | C2997-3H13V-26T89-KR540
????-????-???? | 2VXQX-ZORJD-BG5WI-FO5K0
####-####-#### | KXQK9-8QK6S-FOCMZ-T2EHN
????-????-???? | BKC69-XWLPJ-AI4WS-T1JNQ
????-####-%%%% | JBW5C-OA4KB-KG3O1-GKYPH
%%%%-%%%%-%%%% | DL2UU-K3PAZ-ZV2CJ-EVSBT
####-####-#### | CIVZ5-JF4TV-V7777-8GXBZ
####-####-#### | ROZ8E-N4WV1-S45SB-NOWIW
????-####-%%%% | G8UCN-L2TNS-33J7P-K56AZ
####-####-#### | 39M4E-ZJYF0-FPOQ2-OSVD8
****-****-**** | 7UFPD-VRTNW-KV3B7-QCA66
????-####-%%%% | MAPEF-9WEGJ-ODYK6-Y0GBI
????-####-%%%% | IS5PO-MBYXT-XY7IN-Z2LTL
????-####-%%%% | D2QUN-KAOBY-40HGC-7NSA3
????-####-%%%% | CYQ28-1F76S-EZ2RI-J1STC
****-****-**** | G2NFO-S46LI-EO7TM-TR7XI
????-????-???? | 8QYMX-RK7YR-GDMLB-C8G4S
####-####-#### | N74OH-8H89Z-JWDIA-VJY90
****-****-**** | UU3SC-9VOO0-1GTT7-XOLR1
####-####-#### | APZND-XQYZM-U6OFO-V1Q6U
****-****-**** | MAHTY-4RH2S-7HUBU-3L38J
####-####-#### | 2MUX5-4A751-3HK3S-VHLVF
????-####-%%%% | 4ROLC-408M5-ELTWA-E2YFC
####-####-#### | DCFAC-7O17H-S692O-CCGRP
????-????-???? | JNYN9-IRJ0U-FEU1F-5NH9D
????-????-???? | H8FEO-GQB08-9BOQN-OJ0QL
%%%%-%%%%-%%%% | J894L-5ILAI-GNNLL-UWQL4
